Record_Type,CUSIP_Number,Pool_ID,Issue_Type,Pool_Type,Pool_Issue_Date,Issuer_ID,As-Of_Date,Loan_Count
T,3620E0BV7,892427,H,ML,20100401,9281,202305,12
T,3620E0BW5,892428,H,ML,20100401,9281,202305,31
T,3620E0BX3,892429,H,ML,20100401,9281,202305,62
T,3620E0BY1,892430,H,ML,20100401,9281,202305,79
T,36208A4G3,892431,H,RM,20091101,9281,202305,70
T,3620E0AG1,892432,H,RM,20100301,9281,202305,66
T,3620E0B62,892596,H,RM,20100501,9281,202305,71
T,3620E0FE1,892597,H,RM,20101001,9281,202305,63
T,3620E0GA8,892598,H,ML,20101101,9281,202305,15
T,3620E0H66,892599,H,RM,20110201,9281,202305,64
T,36208A4R9,892600,H,ML,20091101,4394,202305,163
T,36208A4S7,892601,H,RM,20091101,4394,202305,71
T,36208A6D8,892602,H,ML,20100101,4394,202305,166
T,36208A6E6,892603,H,RM,20100101,4394,202305,78
T,3620E0AS5,892604,H,ML,20100301,4394,202305,175
T,3620E0AT3,892605,H,RM,20100301,4394,202305,81
T,3620E0CG9,892606,H,ML,20100501,4394,202305,176
T,3620E0CH7,892607,H,RM,20100501,4394,202305,81
T,3620E0C20,892608,H,ML,20100601,4394,202305,2
T,3620E0C38,892609,H,ML,20100601,4394,202305,20
T,3620E0C46,892610,H,ML,20100601,4394,202305,3
T,3620E0C53,892611,H,ML,20100601,4394,202305,6
T,3620E0D60,892612,H,ML,20100801,4394,202305,175
T,3620E0DD5,892613,H,RM,20100701,4394,202305,83
T,3620E0D78,892614,H,ML,20100801,4394,202305,28
T,3620E0EV4,892615,H,ML,20100901,4394,202305,7
T,3620E0EW2,892616,H,RM,20100901,4394,202305,86
T,3620E0EX0,892617,H,ML,20100901,4394,202305,59
T,3620E0FF8,892618,H,ML,20101001,4394,202305,10
T,3620E0GE0,892619,H,ML,20101101,4394,202305,16
T,3620E0BZ8,892921,H,ML,20100401,4015,202305,204
T,3620E0BK1,892922,H,ML,20100401,4015,202305,48
T,3620E0BL9,892923,H,ML,20100401,4015,202305,35
T,3620E0BM7,892924,H,ML,20100401,4015,202305,46
T,3620E0B21,892925,H,ML,20100401,4015,202305,314
T,3620E0B39,892926,H,ML,20100401,4015,202305,92
T,3620E0CM6,892927,H,ML,20100501,4015,202305,269
T,3620E0CN4,892928,H,ML,20100501,4015,202305,125
T,3620E0CP9,892929,H,ML,20100501,4015,202305,28
T,3620E0CK0,892930,H,ML,20100501,9281,202305,62
